date,temperature,humidite,vent_moyen,vent_rafales,vent_direction,pluie_1h
2020-01-01 00:00:00,1.8,89.2,7.1,,98.0,0.0
2020-01-01 01:00:00,0.8,90.7,6.4,,163.3,0.0
2020-01-01 02:00:00,0.1,93.0,7.2,,189.5,0.0
2020-01-01 03:00:00,0.4,94.2,3.8,,201.6,0.0
2020-01-01 04:00:00,0.9,94.2,2.2,,203.0,0.0
2020-01-01 05:00:00,1.1,95.0,3.5,,156.8,0.0
2020-01-01 06:00:00,1.0,94.8,8.6,,140.3,0.0
2020-01-01 07:00:00,0.9,95.0,12.1,,142.2,0.0
2020-01-01 08:00:00,1.2,95.0,9.4,,137.7,0.0
2020-01-01 09:00:00,1.7,95.0,8.8,,145.2,0.0
2020-01-01 10:00:00,2.1,95.0,10.0,,138.8,0.0
2020-01-01 11:00:00,2.6,95.2,6.7,,130.2,0.0
2020-01-01 12:00:00,3.0,95.7,8.8,,116.8,0.0
2020-01-01 13:00:00,3.5,95.5,7.8,,105.2,0.0
2020-01-01 14:00:00,3.5,96.0,13.2,,135.7,0.0
2020-01-01 15:00:00,4.0,96.0,7.5,,124.0,0.0
2020-01-01 16:00:00,4.1,96.0,10.0,,127.4,0.0
2020-01-01 17:00:00,4.2,96.0,13.4,,128.2,0.0
2020-01-01 18:00:00,4.7,96.0,3.7,,108.5,0.0
2020-01-01 19:00:00,4.6,96.0,4.3,,108.2,0.4
2020-01-01 20:00:00,4.7,96.0,4.8,,84.2,0.86
2020-01-01 21:00:00,4.5,96.0,6.4,,111.6,1.58
2020-01-01 22:00:00,4.4,96.0,10.2,,125.3,0.02
2020-01-01 23:00:00,4.4,96.0,13.8,,116.4,0.0
2020-01-02 00:00:00,4.3,96.0,11.0,,129.2,0.0
2020-01-02 01:00:00,4.7,96.0,5.9,,110.5,0.0
2020-01-02 02:00:00,5.0,96.0,4.3,,97.0,0.03
2020-01-02 03:00:00,5.5,96.0,0.0,,82.3,0.5
2020-01-02 04:00:00,5.4,96.0,4.5,,115.8,0.0
2020-01-02 05:00:00,5.6,96.0,5.4,,117.0,0.02
2020-01-02 06:00:00,5.8,96.5,6.9,,131.2,1.22
2020-01-02 07:00:00,6.4,96.5,1.9,,149.5,0.0
2020-01-02 08:00:00,6.9,96.4,4.8,,142.8,0.0
2020-01-02 09:00:00,7.1,96.2,4.8,,191.0,0.0
2020-01-02 10:00:00,7.9,95.7,4.5,,209.5,0.55
2020-01-02 11:00:00,8.5,94.3,5.9,,207.5,0.0
2020-01-02 12:00:00,8.9,94.2,5.4,,151.6,0.0
2020-01-02 13:00:00,9.3,93.2,4.2,,115.6,0.3
2020-01-02 14:00:00,9.5,89.2,7.0,,184.2,0.0
2020-01-02 15:00:00,9.3,89.2,6.4,,138.8,0.0
2020-01-02 16:00:00,9.3,90.3,7.2,,152.7,0.0
2020-01-02 17:00:00,9.2,90.7,8.3,,187.5,0.0
2020-01-02 18:00:00,9.2,90.8,9.3,,181.0,0.0
2020-01-02 19:00:00,9.5,90.7,4.8,,90.0,0.0
2020-01-02 20:00:00,9.0,92.0,11.6,,193.8,0.0
2020-01-02 21:00:00,9.2,91.5,10.2,,209.5,0.0
2020-01-02 22:00:00,9.6,89.2,9.4,,130.7,0.0
2020-01-02 23:00:00,9.4,88.2,11.3,,222.8,0.0
2020-01-03 00:00:00,9.2,88.0,9.4,,216.5,0.0
2020-01-03 01:00:00,9.5,87.0,4.5,,66.8,0.0
2020-01-03 02:00:00,9.0,86.7,8.0,,158.2,0.0
2020-01-03 03:00:00,8.8,86.6,10.6,,107.8,0.0
2020-01-03 04:00:00,8.6,87.0,16.4,,179.2,0.0
2020-01-03 05:00:00,8.8,87.8,11.3,,212.0,0.0
2020-01-03 06:00:00,8.7,91.5,13.3,,217.2,0.0
2020-01-03 07:00:00,9.1,91.8,16.3,,201.7,0.0
2020-01-03 08:00:00,9.2,92.2,14.5,,224.0,0.0
2020-01-03 09:00:00,9.7,92.0,16.6,,227.8,0.0
2020-01-03 10:00:00,10.9,86.5,22.5,,227.5,0.0
2020-01-03 11:00:00,11.4,83.8,21.7,,237.8,0.0
2020-01-03 12:00:00,11.8,80.8,21.7,,210.2,0.0
2020-01-03 13:00:00,11.2,85.3,14.5,,246.8,0.0
2020-01-03 14:00:00,11.5,83.4,13.9,,247.8,0.0
2020-01-03 15:00:00,11.5,85.3,8.3,,260.0,0.0
2020-01-03 16:00:00,11.5,84.8,7.1,,271.8,0.0
2020-01-03 17:00:00,11.2,86.0,9.4,,246.8,0.0
2020-01-03 18:00:00,10.7,89.0,21.2,,280.4,0.0
2020-01-03 19:00:00,10.3,87.8,12.8,,303.6,0.0
2020-01-03 20:00:00,9.4,85.7,8.6,,255.7,0.0
2020-01-03 21:00:00,8.9,85.5,10.2,,169.0,0.0
2020-01-03 22:00:00,8.2,84.8,7.7,,224.6,0.0
2020-01-03 23:00:00,8.2,85.0,5.8,,268.2,0.0
2020-01-04 00:00:00,8.0,81.2,6.1,,305.3,0.0
2020-01-04 01:00:00,7.4,77.5,4.5,,165.7,0.0
2020-01-04 02:00:00,6.9,81.8,8.6,,297.5,0.0
2020-01-04 03:00:00,6.7,82.4,4.2,,224.0,0.0
2020-01-04 04:00:00,6.1,83.4,6.1,,295.8,0.0
2020-01-04 05:00:00,6.0,83.0,3.2,,270.2,0.0
2020-01-04 06:00:00,6.0,83.0,2.7,,263.7,0.0
2020-01-04 07:00:00,6.2,83.2,2.7,,247.2,0.0
2020-01-04 08:00:00,5.7,83.7,4.5,,247.7,0.0
2020-01-04 09:00:00,6.3,82.5,4.8,,273.9,0.0
2020-01-04 10:00:00,7.2,80.6,3.8,,273.8,0.0
2020-01-04 11:00:00,7.9,78.7,5.3,,274.3,0.0
2020-01-04 12:00:00,8.7,77.3,10.5,,269.5,0.0
2020-01-04 13:00:00,8.6,77.7,11.8,,296.8,0.0
2020-01-04 14:00:00,9.2,73.7,11.8,,263.8,0.0
2020-01-04 15:00:00,8.8,73.6,9.7,,295.6,0.0
2020-01-04 16:00:00,9.0,76.0,7.4,,237.2,0.0
2020-01-04 17:00:00,9.2,76.8,3.6,,242.8,0.0
2020-01-04 18:00:00,8.7,78.6,7.7,,282.6,0.0
2020-01-04 19:00:00,8.5,79.2,8.4,,290.0,0.0
2020-01-04 20:00:00,8.3,79.4,11.3,,263.8,0.0
2020-01-04 21:00:00,8.1,79.2,14.8,,304.2,0.0
2020-01-04 22:00:00,8.2,77.6,8.9,,307.2,0.0
2020-01-04 23:00:00,8.3,79.4,5.4,,283.4,0.0
2020-01-05 00:00:00,8.4,80.3,2.1,,262.0,0.0
2020-01-05 01:00:00,8.0,83.8,4.0,,283.2,0.0
2020-01-05 02:00:00,8.0,84.5,1.3,,249.8,0.0
2020-01-05 03:00:00,7.6,85.7,2.4,,268.8,0.0
2020-01-05 04:00:00,7.7,84.8,1.3,,266.3,0.0
2020-01-05 05:00:00,7.9,84.4,1.0,,276.4,0.0
2020-01-05 06:00:00,8.0,84.5,2.7,,215.2,0.0
2020-01-05 07:00:00,8.2,83.6,0.0,,174.8,0.0
2020-01-05 08:00:00,8.2,84.2,1.3,,198.3,0.0
2020-01-05 09:00:00,8.4,83.8,1.6,,222.2,0.0
2020-01-05 10:00:00,8.4,84.0,0.6,,276.4,0.0
2020-01-05 11:00:00,8.6,81.5,1.6,,296.6,0.0
2020-01-05 12:00:00,9.0,75.2,2.9,,240.5,0.0
2020-01-05 13:00:00,9.2,66.7,2.1,,278.8,0.0
2020-01-05 14:00:00,9.5,66.4,1.0,,239.2,0.0
2020-01-05 15:00:00,9.4,68.0,1.3,,194.8,0.0
2020-01-05 16:00:00,8.9,67.8,2.4,,106.5,0.0
2020-01-05 17:00:00,8.8,68.8,3.2,,94.0,0.0
2020-01-05 18:00:00,8.8,68.0,3.7,,82.0,0.0
2020-01-05 19:00:00,8.5,67.5,3.2,,106.7,0.0
2020-01-05 20:00:00,8.2,67.7,3.5,,91.8,0.0
2020-01-05 21:00:00,8.2,68.5,3.5,,100.2,0.0
2020-01-05 22:00:00,7.4,70.5,5.9,,117.8,0.0
2020-01-05 23:00:00,6.9,72.7,1.3,,83.3,0.0
2020-01-06 00:00:00,6.1,76.8,5.1,,143.6,0.0
2020-01-06 01:00:00,5.5,80.3,1.1,,239.3,0.0
2020-01-06 02:00:00,4.9,83.7,0.8,,276.3,0.0
2020-01-06 03:00:00,4.4,85.2,2.2,,164.0,0.0
2020-01-06 04:00:00,3.9,87.2,3.8,,118.4,0.0
2020-01-06 05:00:00,3.6,88.2,5.4,,112.8,0.0
2020-01-06 06:00:00,3.2,89.0,4.8,,109.7,1.92
2020-01-06 07:00:00,2.9,90.0,4.8,,99.2,0.0
2020-01-06 08:00:00,2.6,90.2,10.4,,87.0,1.05
2020-01-06 09:00:00,3.0,87.8,9.2,,137.8,0.0
2020-01-06 10:00:00,4.3,82.7,10.0,,123.7,0.0
2020-01-06 11:00:00,5.1,78.5,8.0,,183.5,0.0
2020-01-06 12:00:00,6.6,75.4,6.7,,90.6,0.0
2020-01-06 13:00:00,7.9,72.7,4.3,,71.5,0.0
2020-01-06 14:00:00,8.4,72.2,4.8,,117.5,0.0
2020-01-06 15:00:00,8.5,74.3,5.3,,85.5,0.0
2020-01-06 16:00:00,7.9,78.2,4.0,,83.8,0.0
2020-01-06 17:00:00,7.6,79.2,4.2,,184.4,0.0
2020-01-06 18:00:00,6.5,79.8,3.5,,124.2,0.0
2020-01-06 19:00:00,6.4,82.8,4.2,,84.0,0.0
2020-01-06 20:00:00,6.3,85.8,4.0,,211.2,0.0
2020-01-06 21:00:00,6.6,90.7,4.5,,223.0,0.0
2020-01-06 22:00:00,7.2,92.0,11.6,,224.0,0.0
2020-01-06 23:00:00,7.9,90.6,10.0,,269.8,0.02
2020-01-07 00:00:00,8.9,88.2,2.4,,122.7,0.0
2020-01-07 01:00:00,9.2,86.3,1.1,,264.8,0.0
2020-01-07 02:00:00,9.2,85.7,1.3,,247.3,0.0
2020-01-07 03:00:00,8.9,87.4,0.6,,91.4,0.0
2020-01-07 04:00:00,8.4,88.6,1.0,,80.2,0.0
2020-01-07 05:00:00,7.6,90.2,1.6,,167.8,0.0
2020-01-07 06:00:00,7.4,90.8,5.1,,220.7,0.0
2020-01-07 07:00:00,7.5,90.0,2.7,,206.2,0.0
2020-01-07 08:00:00,7.1,91.0,4.5,,145.8,0.0
2020-01-07 09:00:00,7.7,91.5,3.7,,101.5,0.0
2020-01-07 10:00:00,7.9,92.2,3.7,,223.0,0.0
2020-01-07 11:00:00,8.1,91.7,6.4,,167.2,0.0
2020-01-07 12:00:00,8.4,91.8,6.7,,181.5,0.0
2020-01-07 13:00:00,8.8,91.2,5.1,,215.4,0.0
2020-01-07 14:00:00,9.2,91.4,3.5,,43.8,0.0
2020-01-07 15:00:00,9.2,92.3,3.5,,69.2,0.0
2020-01-07 16:00:00,8.7,94.5,4.8,,121.5,0.0
2020-01-07 17:00:00,9.2,94.2,4.0,,57.2,0.0
2020-01-07 18:00:00,9.3,95.0,3.5,,81.5,0.0
2020-01-07 19:00:00,8.9,95.8,7.8,,211.7,0.0
2020-01-07 20:00:00,8.9,96.0,8.6,,164.7,0.0
2020-01-07 21:00:00,9.2,96.0,7.7,,153.0,0.0
2020-01-07 22:00:00,9.8,96.0,4.0,,187.2,0.0
2020-01-07 23:00:00,10.5,96.0,5.6,,206.8,0.0
2020-01-08 00:00:00,11.3,94.8,4.2,,85.6,0.0
2020-01-08 01:00:00,11.4,95.4,5.8,,175.0,0.0
2020-01-08 02:00:00,12.1,93.5,7.8,,127.3,0.0
2020-01-08 03:00:00,12.6,91.5,2.7,,203.2,0.0
2020-01-08 04:00:00,12.2,92.0,7.8,,139.7,0.0
2020-01-08 05:00:00,11.9,92.4,14.2,,245.8,0.0
2020-01-08 06:00:00,12.3,90.8,7.1,,124.0,0.0
2020-01-08 07:00:00,12.1,90.8,4.8,,206.0,0.0
2020-01-08 08:00:00,12.0,91.0,5.8,,217.0,0.0
2020-01-08 09:00:00,11.8,91.6,5.8,,189.0,0.0
2020-01-08 10:00:00,12.2,91.8,5.1,,171.4,0.0
2020-01-08 11:00:00,12.2,92.2,4.5,,164.4,0.0
2020-01-08 12:00:00,11.9,92.6,10.0,,234.4,0.0
2020-01-08 13:00:00,11.8,93.6,8.0,,238.4,0.0
2020-01-08 14:00:00,12.4,92.7,6.2,,151.7,0.0
2020-01-08 15:00:00,12.6,92.0,4.8,,159.8,0.0
2020-01-08 16:00:00,12.3,92.0,7.2,,215.7,0.0
